Title,Authors,Link,Bookshelf
Tom Sawyer, Detective,Twain, Mark, 1835-1910,http://www.gutenberg.org/ebooks/93,
Alexander's Bridge,Cather, Willa, 1873-1947,http://www.gutenberg.org/ebooks/94,
The Prisoner of Zenda,Hope, Anthony, 1863-1933,http://www.gutenberg.org/ebooks/95,"Adventure, Best Books Ever Listings, Movie Books, Bestsellers, American, 1895-1923"
The Monster Men,Burroughs, Edgar Rice, 1875-1950,http://www.gutenberg.org/ebooks/96,Science Fiction
Flatland: A Romance of Many Dimensions,Abbott, Edwin Abbott, 1838-1926,http://www.gutenberg.org/ebooks/97,"Science Fiction, Mathematics"
A Tale of Two Cities,Dickens, Charles, 1812-1870,http://www.gutenberg.org/ebooks/98,Historical Fiction
Collected Articles of Frederick Douglass,Douglass, Frederick, 1818-1895,http://www.gutenberg.org/ebooks/99,"African American Writers, Slavery"
The Complete Works of William Shakespeare,Shakespeare, William, 1564-1616,http://www.gutenberg.org/ebooks/100,Plays
The Hacker Crackdown: Law and Disorder on the Electronic Frontier,Sterling, Bruce, 1954-,http://www.gutenberg.org/ebooks/101,
The Tragedy of Pudd'nhead Wilson,Twain, Mark, 1835-1910,http://www.gutenberg.org/ebooks/102,
Around the World in Eighty Days,Verne, Jules, 1828-1905,http://www.gutenberg.org/ebooks/103,"Adventure, Best Books Ever Listings, Movie Books"
Inaugural Address of Franklin Delano Roosevelt Given in Washington, D.C. March 4th, 1933,Roosevelt, Franklin D. (Franklin Delano), 1882-1945,http://www.gutenberg.org/ebooks/104,
Persuasion,Austen, Jane, 1775-1817,http://www.gutenberg.org/ebooks/105,
Jungle Tales of Tarzan,Burroughs, Edgar Rice, 1875-1950,http://www.gutenberg.org/ebooks/106,"Movie Books, Adventure"
Far from the Madding Crowd,Hardy, Thomas, 1840-1928,http://www.gutenberg.org/ebooks/107,
The Return of Sherlock Holmes,Doyle, Arthur Conan, 1859-1930,http://www.gutenberg.org/ebooks/108,Detective Fiction
Renascence, and Other Poems,Millay, Edna St. Vincent, 1892-1950,http://www.gutenberg.org/ebooks/109,
Tess of the d'Urbervilles: A Pure Woman,Hardy, Thomas, 1840-1928,http://www.gutenberg.org/ebooks/110,Banned Books from Anne Haight's list
Freckles,Stratton-Porter, Gene, 1863-1924,http://www.gutenberg.org/ebooks/111,
Violists,McGowan, Richard, 1958-,http://www.gutenberg.org/ebooks/112,
The Secret Garden,Burnett, Frances Hodgson, 1849-1924,http://www.gutenberg.org/ebooks/113,Children's Literature
